ลำดับที่,เดือน,วันที่เกิดเหตุ,เวลา,ขบวนรถ,เส้นทาง,สถานีที่เกิดเหตุขัอง,ระยะเวลาล่าช้า (นาที),ผู้ให้บริการ,สาเหตุ,รายละเอียด
169,ตุลาคม,15 ต.ค. 21,13.33 น.,-,สาย ARL,-,5,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,เวลา 13.33 น.เกิดเหตุระบบควบคุมการเดินรถส่วนกลางหลักขัดข้องส่งผลให้รถล่าช้าจากตารางเวลา 5 นาที เวลา 13.42 น. เปลี่ยนมาใช้ระบบการควบคุมการเดินรถสำรองแทน รถไฟให้บริการ 6 ขบวน ความถี่ 10 นาที
170,ตุลาคม,15 ต.ค. 21,15.03 น.,-,สาย ARL,พญาไท,10,SRTET, จุดสับราง ,"เวลา 15.03 น.เกิดเหตุประแจสับรางขัดข้อง สถานีพญาไทฝั่งขาออกนอกเมือง ส่งผลให้รถล่าช้าจากตารางเวลา 10 นาที ต้องใช้แผนเดินรถสำรองชั่วคราว โดยสถานีพญาไท ราชปรารภ มักกะสัน ใช้ชานชาลาฝั่งขาเข้าเมืองในการรับส่งผู้โดยสารร่วมกัน
เวลา 16.10 น. ยกเลิกแผนเดินรถสำรอง เดินรถในเส้นทางปกติ ขบวนรถไฟให้บริการครบตรงตามตารางเวลา"
171,ตุลาคม,17 ต.ค. 21,17.22 น.,City03,สาย ARL,หัวหมาก,-,SRTET, ระบบเบรก ,เวลา 17.22น. ขบวนรถ City03 ระบบเบรกขัดข้อง ที่สถานีหัวหมาก ฝั่งขาเข้าเมือง ทำการขนถ่ายผู้โดยสารออกจากขบวนรถ ถอนออกจากการให้บริการ ยกเลิกเที่ยวให้บริการ 1 เที่ยว กระทบสถานีหัวหมากถึงสถานีราชปรารภ ฝั่งขาเข้าเมือง เวลา 17.38น. นำขบวนรถทดแทนให้บริการที่สถานีพญาไท รถไฟทุกขบวนให้บริการครบตรงตามตารางเวลาการเดินรถ
172,ตุลาคม,18 ต.ค. 21,07.10 น.,-,สายสีแดง,หลักหก,5,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"07.10 น. เกิดอุปกรณ์ส่งสัญญาณจากรางขัดข้อง บริเวณก่อนเข้าสถานีหลักหก ฝั่งขาเข้าเมือง สัญญาณไฟประจำที่ หมายเลข B04 ส่งผลให้ขบวนรถ T02/เที่ยว1012 ล่าช้าจากตารางเวลา 5 นาที
07.30 น. นำขบวนรถไฟสำรองมาให้บริการที่สถานีกลางบางซื่อ ฝั่งขาออกเมือง รถไฟทุกขบวนให้บริการครบตรงตามตารางเดินรถ"
173,ตุลาคม,18 ต.ค. 21,09.25 น.,18,สายสีน้ำเงิน,บางโพ,5,BEM, ระบบอาณัติสัญญาณและการควบคุม ,เวลา 09.25 น. ขบวนรถไฟฟ้าหมายเลข 18 เกิดเหตุระบบป้องกันการผิดพลาดของการเดินรถบนขบวนรถไฟฟ้าขัดข้องจำนวน 1 ขบวน ที่สถานีบางโพ ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 5 นาที โดยมีขบวนรถให้บริการทดแทน สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ ปริมาณผู้โดยสารภายในขบวนรถเบาบาง
174,ตุลาคม,19 ต.ค. 21,10.03 น.,-,สายสีแดง,บางบำหรุ-ตลิ่งชัน,-,SRTET, จุดสับราง ,10.03 น. ชุดประแจ106B ขัดข้อง ระหว่างช่วงสถานีบางบำหรุและสถานีตลิ่งชัน ฝั่งขาออกเมือง ศูนย์ควบคุมการเดินรถปรับรูปแบบการเดินรถ วิ่ง Shuttle ระหว่างตลิ่งชัน-บางบำหรุ 1 ขบวน และวิ่ง Short loop ระหว่างบางบำหรุ-บางซื่อ 2 ขบวน ใช้ ความถี่ 30 นาที ตลอดจนสิ้นสุดการให้บริการ
175,ตุลาคม,20 ต.ค. 21,06.00 น.,-,สายสีแดง,บางบำหรุ-ตลิ่งชัน,-,SRTET, จุดสับราง ,06.00 น. ชุดประแจ106B ขัดข้อง ระหว่างช่วงสถานีบางบำหรุและสถานีตลิ่งชัน ฝั่งขาออกเมือง ศูนย์ควบคุมการเดินรถปรับรูปแบบการเดินรถ วิ่ง Shuttle ระหว่างตลิ่งชัน-บางบำหรุ 1 ขบวน และวิ่ง Short loop ระหว่างบางบำหรุ-บางซื่อ 2 ขบวน ใช้ ความถี่ 30 นาที ตลอดจนสิ้นสุดการให้บริการ
176,ตุลาคม,20 ต.ค. 21,08.00 น.,18,สายสีเขียว,มหาวิทยาลัยเกษตรศาสตร์,-,BTS, ระบบประตู , 08.00 น. ขบวนรถไฟฟ้าหมายเลข 18 ระบบประตูขัดข้องที่สถานีมหาวิทยาลัยเกษตรศาสตร์ ฝั่งมุ่งหน้าสถานีปลายทางคูคต กำลังทำการแก้ไข 08.11 น. ขบวนรถไฟฟ้าหมายเลข 18 ระบบประตูขัดข้องที่สถานีมหาวิทยาลัยเกษตรศาสตร์ ฝั่งมุ่งหน้าสถานีปลายทางคูคต ไม่สามารถทำการแก้ไขได้ให้ทำการเปลี่ยนถ่ายผู้โดยสาร 08.28 น. ขบวนรถได้รับการแก้ไขและนำออกจากการให้บริการแล้ว การเดินรถในสายสุขุมวิทสามารถเดินรถได้ตามปกติ
177,ตุลาคม,21 ต.ค. 21,17.40 น.,37,สายสีน้ำเงิน,ศูนย์การประชุมแห่งชาติสิริกิติ์,4,BEM, ระบบประตู ,เวลา 17.40 น. ขบวนรถไฟฟ้าหมายเลข 37 เกิดเหตุประตูรถไฟฟ้าขัดข้อง จำนวน 1 ขบวน ที่สถานีศูนย์การประชุมแห่งชาติสิริกิติ์ ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 4 นาที โดยมีขบวนรถให้บริการทดแทนสถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบปริมาณผู้โดยสารภายในขบวนรถปานกลาง
178,ตุลาคม,22 ต.ค. 21,14.04 น.,44,สายสีน้ำเงิน,บางแค,3,BEM, ระบบขับเคลื่อนรถไฟฟ้า ,เวลา 14.04 น. ขบวนรถไฟฟ้าหมายเลข 44 เกิดเหตุระบบการขับเคลื่อนของรถไฟฟ้าขัดข้อง จำนวน 1 ขบวน ที่สถานีบางแค ฝั่งขาขึ้น (ปลายทางสถานีท่าพระ) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ
179,ตุลาคม,23 ต.ค. 21,13.05 น.,40,สายสีเขียว,-,-,BTS, ระบบขับเคลื่อนรถไฟฟ้า ,13.05 ขบวนรถไฟฟ้าหมายเลข 40 ระบบขับเคลื่อนขัดข้อง ขณะนำขึ้นให้บริการในสายสุขุมวิท ส่งผลให้ขบวนรถกีดขวางเส้นทางให้บริการ กำลังทำการแก้ไข 13.20  ขบวนรถที่ขัดข้องได้รับการแก้ไข และนำออกจากการให้บริการแล้ว การเดินรถในสายสุขุมวิท สามารถเดินรถได้ตามปกติ
180,ตุลาคม,23 ต.ค. 21,15.25 น.,12,สายสีน้ำเงิน,เตาปูน,3,BEM, ระบบประตู ,เวลา 15.25 น. ขบวนรถไฟฟ้าหมายเลข 12 เกิดเหตุประตูรถไฟฟ้าขัดข้อง จำนวน 1 ขบวน ที่สถานีเตาปูน ชานชาลารถไฟฟ้าสายสีน้ำเงิน ฝั่งขาล่อง (ปลายทางสถานีหลักสอง) ดำเนินการถอนรถออกจากการให้บริการ ล่าช้า 3 นาที โดยมีขบวนรถให้บริการทดแทน สถานีได้ประชาสัมพันธ์ให้ผู้โดยสารรับทราบ
181,ตุลาคม,24 ต.ค. 21,06.05 น.,-,สายสีแดง,บางบำหรุ,10,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,06.05 น. อุปกรณ์ตรวจจับนับเพลาล้อ103T และ 101BT ขัดข้อง ที่สถานีบางบำหรุ ฝั่งขาเข้าเมือง และความล่าช้าสะสม ระหว่างช่วงสถานีตลิ่งชัน และสถานีบางบำหรุ ฝั่งขาเข้าและออกเมือง จากอุปกรณ์ตรวจจับนับเพลาล้อ และสัญญาณไฟประจำที่  ขัดข้อง ส่งผลให้เกิดความล่าช้าสะสมจากตารางเวลา 10 นาที ตลอดจนสิ้นสุดให้บริการ
182,ตุลาคม,25 ต.ค. 21,14.56 น.,-,สายสีแดง,กลางบางซื่อ,16,SRTET, ระบบจ่ายไฟฟ้าขับเคลื่อน ,14.56 น.  ระบบจ่ายไฟเหนือหัว ขัดข้องที่ สถานีกลางบางซื่อชานชาลา 9และ 10 15.07 น . ทำการแก้ไขเรียบร้อย ส่งผลให้ขบวนรถ T23 เที่ยว 2077 ล่าช้า 16 นาที 15.30 น. ให้บริการตรงตามเวลาเดินรถ
183,ตุลาคม,25 ต.ค. 21,15.35 น.,-,สายสีแดง,ดอนเมือง,5,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"15.35 น. อุปกรณ์ตรวจจับนับเพลาล้อ B08AT, B08BT, B04T ขัดข้อง ที่สถานีดอนเมือง ฝั่งขาเข้าเมือง รอดำเนินการแก้ไข  ส่งผลให้เกิดความล่าช้าจากตารางเวลา 5 นาที ตลอดจนสิ้นสุดให้บริการ"
184,ตุลาคม,26 ต.ค. 21,05.30 น.,-,สาย ARL,บ้านทับช้าง-ลาดกระบัง,5,AERA1, ระบบอาณัติสัญญาณและการควบคุม ,เวลา 05.30 น.เกิดเหตุระบบอาณัติสัญญานระหว่างสถานีบ้านทับช้างและสถานีลาดกระบังฝั่งขาออกนอกเมืองขัดข้อง ส่งผลให้รถล่าช้าจากตารางเวลา 5 นาที
185,ตุลาคม,26 ต.ค. 21, 06.10 น.,-,สายสีแดง,หลักหก,9,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"06.10 น. เกิดอุปกรณ์ส่งสัญญาณจากรางขัดข้อง บริเวณก่อนเข้าสถานีหลักหก ฝั่งขาเข้าเมือง สัญญาณไฟประจำที่ หมายเลข B04 ส่งผลให้ขบวนรถ T04/เที่ยว1004 ล่าช้าจากตารางเวลา 9 นาที
06.30 น. นำขบวนรถไฟสำรองมาให้บริการที่สถานีกลางบางซื่อ ฝั่งขาออกเมือง รถไฟทุกขบวนให้บริการครบตรงตามตารางเดินรถ"
186,ตุลาคม,26 ต.ค. 21,07.00 น.,31,สายสีเขียว,ห้าแยกลาดพร้าว-หมอชิต,-,BTS, ไม่ทราบสาเหตุ ,"07.00 BTS ขบวนรถไฟฟ้าหมายเลข 31 ขัดข้องขณะขึ้นให้บริการในสายสุขุมวิท ส่งผลให้ขบวนรถกีดขวางเส้นทางให้บริการ ระหว่างสถานีห้าแยกลาดพร้าวกับสถานีหมอชิต กำลังทำการแก้ไข
07.08 BTS ปรับรูปแบบการเดินรถโดยจัดรถไฟฟ้าวิ่งให้บริการจากสถานีคูคต  ถึงสถานีปลายทางเคหะฯ  ซึ่งสถานีห้าแยกลาดพร้าว และสถานีหมอชิต จะมีความล่าช้า 08.32 BTS ขบวนรถไฟฟ้าหมายเลข 31 ทำการแก้ไขโดยนำขบวนรถไฟฟ้าหมายเลข 76 เข้าทำการช่วยเหลือนำออกจากการให้บริการ  การเดินรถในสายสุขุมวิท สามารถเดินรถได้ตามปกติ"
187,ตุลาคม,26 ต.ค. 21,08.11 น.,-,สายสีแดง,หลักหก-รังสิต,5,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,"08.11 น. อุปกรณ์ตรวจจับนับเพลาล้อ B01AT, B01BT ขัดข้อง ที่ระหว่างสถานีหลักหกและรังสิตฝั่งขาออกเมือง ส่งผลให้ขบวนรถไฟ T11/เที่ยว 1021 ล่าช้าจากตารางเวลา 5 นาที"
